                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 3.3748,                 3.6648,                 3.9352,                0.00197,                0.11556,                0.00125,                0.00026,                 4.5348,                 18.319,                 4.3723,              0.0013039,              0.0013039,              0.0013039
                     25,                 3.4388,                  3.744,                 3.7841,                0.00257,                   0.02,                0.00127,                 0.0005,                  4.058,                 152.57,                 5.4093,              0.0012874,              0.0012874,              0.0012874
                     26,                 3.3405,                 3.7636,                 3.8013,                0.00321,                   0.02,                0.00153,                 0.0006,                  4.058,                 152.57,                 5.4093,              0.0012709,              0.0012709,              0.0012709
                     27,                 3.5638,                 3.5884,                 3.8163,                0.01649,                0.06778,                0.00337,                0.00116,                 3.5384,                  43.61,                 4.2008,              0.0012544,              0.0012544,              0.0012544
                     28,                 3.3586,                 3.4419,                 3.7857,                0.01649,                0.06778,                0.00337,                0.00116,                 3.5384,                  43.61,                 4.2008,              0.0012379,              0.0012379,              0.0012379
                     29,                 3.5354,                  3.616,                 3.7406,                0.01649,                0.06778,                0.00337,                0.00116,                 3.5384,                  43.61,                 4.2008,              0.0012214,              0.0012214,              0.0012214
                     30,                 3.1795,                 3.5034,                 3.7795,                0.31619,                   0.06,                0.05096,                0.01313,                  3.546,                 6.9183,                 3.7814,              0.0012049,              0.0012049,              0.0012049
                     31,                   3.36,                 3.3585,                    3.7,                0.31619,                   0.06,                0.05096,                0.01313,                  3.546,                 6.9183,                 3.7814,              0.0011884,              0.0011884,              0.0011884
                     32,                 3.4291,                  3.434,                 3.6486,                0.09965,                   0.08,                0.04764,                 0.0161,                 3.7466,                 4.9199,                 3.6052,              0.0011719,              0.0011719,              0.0011719
                     33,                  3.205,                 3.4012,                 3.7244,                0.09965,                   0.08,                0.04764,                 0.0161,                 3.7466,                 4.9199,                 3.6052,              0.0011554,              0.0011554,              0.0011554
                     34,                 3.2793,                 3.4427,                 3.6871,                0.15089,                   0.07,                0.05806,                0.01682,                 3.5201,                 5.0489,                 3.6085,              0.0011389,              0.0011389,              0.0011389
                     35,                 3.0347,                 3.3942,                  3.636,                0.15089,                   0.07,                0.05806,                0.01682,                 3.5201,                 5.0489,                 3.6085,              0.0011224,              0.0011224,              0.0011224
                     36,                 3.2098,                 3.3714,                 3.6503,                0.15089,                   0.07,                0.05806,                0.01682,                 3.5201,                 5.0489,                 3.6085,              0.0011059,              0.0011059,              0.0011059
                     37,                 3.2831,                 3.3893,                 3.5742,                 0.6494,                   0.08,                0.05798,                0.01479,                 3.5026,                 5.2225,                 3.5572,              0.0010894,              0.0010894,              0.0010894
                     38,                 3.3398,                 3.4184,                 3.6304,                 0.6494,                   0.08,                0.05798,                0.01479,                 3.5026,                 5.2225,                 3.5572,              0.0010729,              0.0010729,              0.0010729
                     39,                 3.2601,                 3.4354,                 3.6343,                0.64665,                   0.07,                0.05526,                0.01912,                 3.2658,                 4.8364,                 3.3007,              0.0010564,              0.0010564,              0.0010564
                     40,                 3.3627,                 3.1897,                 3.4508,                0.64665,                   0.07,                0.05526,                0.01912,                 3.2658,                 4.8364,                 3.3007,              0.0010399,              0.0010399,              0.0010399
                     41,                 3.3497,                 3.3913,                 3.5726,                0.73122,                0.06889,                0.07386,                0.02612,                 3.1472,                 4.2776,                 3.1503,              0.0010234,              0.0010234,              0.0010234
                     42,                 3.0413,                 3.2702,                 3.5454,                0.73122,                0.06889,                0.07386,                0.02612,                 3.1472,                 4.2776,                 3.1503,              0.0010069,              0.0010069,              0.0010069
                     43,                 3.1764,                 3.2564,                 3.5505,                0.73122,                0.06889,                0.07386,                0.02612,                 3.1472,                 4.2776,                 3.1503,             0.00099036,             0.00099036,             0.00099036
                     44,                 3.2457,                 3.5004,                 3.5514,                0.14704,                    0.1,                0.08979,                0.03824,                 3.0833,                 4.1322,                 3.0774,             0.00097386,             0.00097386,             0.00097386
                     45,                 3.1492,                 3.2345,                 3.4774,                0.14704,                    0.1,                0.08979,                0.03824,                 3.0833,                 4.1322,                 3.0774,             0.00095736,             0.00095736,             0.00095736
                     46,                 3.2971,                 3.2287,                 3.4964,                0.17922,                0.09112,                0.08142,                0.02882,                 3.0081,                 3.8657,                 3.0727,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.9613,                 3.3079,                 3.5184,                0.17922,                0.09112,                0.08142,                0.02882,                 3.0081,                 3.8657,                 3.0727,             0.00092435,             0.00092435,             0.00092435
                     48,                 3.2564,                 3.2142,                 3.4566,                0.14951,                   0.12,                0.09573,                 0.0307,                 2.8074,                 3.8483,                 3.1652,             0.00090785,             0.00090785,             0.00090785
                     49,                  3.045,                 3.5122,                  3.418,                0.14951,                   0.12,                0.09573,                 0.0307,                 2.8074,                 3.8483,                 3.1652,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.9288,                 3.3085,                   3.53,                0.14951,                   0.12,                0.09573,                 0.0307,                 2.8074,                 3.8483,                 3.1652,             0.00087484,             0.00087484,             0.00087484
                     51,                 3.0993,                 3.2092,                 3.3375,                0.12057,                    0.1,                0.06961,                0.01911,                 2.8943,                 3.7794,                 3.2847,             0.00085834,             0.00085834,             0.00085834
                     52,                 3.0725,                 3.0986,                 3.3845,                0.12057,                    0.1,                0.06961,                0.01911,                 2.8943,                 3.7794,                 3.2847,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.9572,                 3.1541,                 3.3553,                 0.6177,                    0.1,                0.05244,                 0.0141,                 2.9558,                 3.8049,                 3.3106,             0.00082533,             0.00082533,             0.00082533
                     54,                 3.1314,                  3.487,                 3.4332,                 0.6177,                    0.1,                0.05244,                 0.0141,                 2.9558,                 3.8049,                 3.3106,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.8934,                 3.2689,                  3.411,                0.14849,                   0.11,                0.08928,                 0.0218,                 2.7427,                 3.7261,                 3.0915,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.8375,                 3.1266,                 3.3363,                0.14849,                   0.11,                0.08928,                 0.0218,                 2.7427,                 3.7261,                 3.0915,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.8387,                 3.1873,                 3.4449,                0.14849,                   0.11,                0.08928,                 0.0218,                 2.7427,                 3.7261,                 3.0915,             0.00075932,             0.00075932,             0.00075932
                     58,                 2.9844,                 3.2099,                 3.3607,                 0.2134,                0.11917,                 0.1061,                0.03073,                 2.6389,                 4.6445,                 2.9539,             0.00074282,             0.00074282,             0.00074282
                     59,                 3.0169,                 3.1073,                 3.3542,                 0.2134,                0.11917,                 0.1061,                0.03073,                 2.6389,                 4.6445,                 2.9539,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.9242,                 3.2222,                  3.322,                0.19756,                   0.12,                0.11159,                0.03209,                 2.6378,                 5.0906,                 2.8667,             0.00070981,             0.00070981,             0.00070981
                     61,                 2.8723,                 3.0102,                  3.129,                0.19756,                   0.12,                0.11159,                0.03209,                 2.6378,                 5.0906,                 2.8667,             0.00069331,             0.00069331,             0.00069331
                     62,                 2.9313,                 3.0692,                 3.2454,                0.20269,                   0.12,                0.11624,                0.04263,                 2.5711,                 3.9306,                 2.7891,              0.0006768,              0.0006768,              0.0006768
                     63,                 2.9889,                 3.1513,                 3.3481,                0.20269,                   0.12,                0.11624,                0.04263,                 2.5711,                 3.9306,                 2.7891,              0.0006603,              0.0006603,              0.0006603
                     64,                 2.9681,                 3.1934,                 3.3523,                0.20269,                   0.12,                0.11624,                0.04263,                 2.5711,                 3.9306,                 2.7891,              0.0006438,              0.0006438,              0.0006438
                     65,                 3.0168,                 3.1044,                  3.226,                0.16256,                0.14363,                0.13199,                0.05603,                 2.5454,                  3.738,                 2.7002,             0.00062729,             0.00062729,             0.00062729
                     66,                 2.8826,                 3.0912,                 3.2678,                0.16256,                0.14363,                0.13199,                0.05603,                 2.5454,                  3.738,                 2.7002,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.9883,                 3.1046,                 3.2997,                0.17768,                0.22987,                0.14923,                 0.0639,                 2.5011,                 3.8116,                 2.6474,             0.00059429,             0.00059429,             0.00059429
                     68,                 2.8461,                 2.9405,                 3.1902,                0.17768,                0.22987,                0.14923,                 0.0639,                 2.5011,                 3.8116,                 2.6474,             0.00057778,             0.00057778,             0.00057778
                     69,                 2.8105,                 3.1746,                 3.2933,                0.21744,                0.20778,                0.16385,                0.06223,                  2.515,                 3.6818,                 2.6115,             0.00056128,             0.00056128,             0.00056128
                     70,                 2.8886,                 3.0475,                 3.1646,                0.21744,                0.20778,                0.16385,                0.06223,                  2.515,                 3.6818,                 2.6115,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.8439,                 3.0373,                 3.1218,                0.21744,                0.20778,                0.16385,                0.06223,                  2.515,                 3.6818,                 2.6115,             0.00052827,             0.00052827,             0.00052827
                     72,                 2.8348,                  3.049,                 3.1866,                 0.2179,                0.20778,                 0.1681,                0.06168,                 2.5038,                  3.556,                 2.5752,             0.00051177,             0.00051177,             0.00051177
                     73,                 2.8785,                  3.069,                 3.1317,                 0.2179,                0.20778,                 0.1681,                0.06168,                 2.5038,                  3.556,                 2.5752,             0.00049527,             0.00049527,             0.00049527
                     74,                  2.826,                 3.1483,                 3.1156,                0.34097,                0.18778,                0.19114,                0.06651,                 2.5044,                 3.2441,                 2.5557,             0.00047876,             0.00047876,             0.00047876
                     75,                 2.7668,                 2.8892,                 2.9906,                0.34097,                0.18778,                0.19114,                0.06651,                 2.5044,                 3.2441,                 2.5557,             0.00046226,             0.00046226,             0.00046226
                     76,                 2.8818,                 2.9862,                 3.2328,                0.36557,                0.26778,                0.21141,                0.08045,                 2.5231,                 3.0986,                  2.547,             0.00044576,             0.00044576,             0.00044576
                     77,                 2.9195,                 2.8791,                 3.1467,                0.36557,                0.26778,                0.21141,                0.08045,                 2.5231,                 3.0986,                  2.547,             0.00042925,             0.00042925,             0.00042925
                     78,                 2.8388,                 2.9059,                  3.101,                0.36557,                0.26778,                0.21141,                0.08045,                 2.5231,                 3.0986,                  2.547,             0.00041275,             0.00041275,             0.00041275
                     79,                 2.7689,                 2.7995,                  3.074,                0.51682,                0.28385,                0.22418,                0.09175,                 2.5018,                 3.2103,                  2.535,             0.00039625,             0.00039625,             0.00039625
                     80,                 2.9949,                 3.0398,                 3.1479,                0.51682,                0.28385,                0.22418,                0.09175,                 2.5018,                 3.2103,                  2.535,             0.00037974,             0.00037974,             0.00037974
                     81,                  2.813,                 3.0339,                 3.2406,                0.39827,                0.23778,                0.22129,                0.09704,                 2.5101,                  3.427,                 2.5463,             0.00036324,             0.00036324,             0.00036324
                     82,                  2.895,                 2.8036,                 3.0685,                0.39827,                0.23778,                0.22129,                0.09704,                 2.5101,                  3.427,                 2.5463,             0.00034674,             0.00034674,             0.00034674
                     83,                 2.9064,                 2.9805,                 3.1237,                0.43841,                0.24778,                0.22764,                0.10052,                 2.5062,                 3.6315,                 2.5447,             0.00033023,             0.00033023,             0.00033023
                     84,                 2.7408,                 3.0714,                 3.2676,                0.43841,                0.24778,                0.22764,                0.10052,                 2.5062,                 3.6315,                 2.5447,             0.00031373,             0.00031373,             0.00031373
                     85,                 2.8265,                 2.9936,                 3.1305,                0.43841,                0.24778,                0.22764,                0.10052,                 2.5062,                 3.6315,                 2.5447,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.7311,                 2.9028,                 3.2285,                0.45282,                0.22778,                0.22869,                0.09392,                 2.5136,                 3.6922,                  2.556,             0.00028072,             0.00028072,             0.00028072
                     87,                  2.781,                 2.9102,                 3.1056,                0.45282,                0.22778,                0.22869,                0.09392,                 2.5136,                 3.6922,                  2.556,             0.00026422,             0.00026422,             0.00026422
                     88,                 2.9276,                  2.963,                  3.146,                0.42797,                0.20894,                0.22042,                0.08687,                 2.5225,                 3.7046,                 2.5574,             0.00024772,             0.00024772,             0.00024772
                     89,                  2.779,                 2.6769,                 2.9134,                0.42797,                0.20894,                0.22042,                0.08687,                 2.5225,                 3.7046,                 2.5574,             0.00023121,             0.00023121,             0.00023121
                     90,                 2.9063,                 3.0473,                 3.2254,                0.44844,                0.20778,                0.22436,                0.08966,                 2.4944,                 3.6931,                 2.5492,             0.00021471,             0.00021471,             0.00021471
                     91,                 2.6837,                  3.216,                 3.1295,                0.44844,                0.20778,                0.22436,                0.08966,                 2.4944,                 3.6931,                 2.5492,             0.00019821,             0.00019821,             0.00019821
                     92,                  2.567,                 3.2452,                 3.0209,                0.44844,                0.20778,                0.22436,                0.08966,                 2.4944,                 3.6931,                 2.5492,              0.0001817,              0.0001817,              0.0001817
                     93,                  2.713,                 3.4019,                 3.0862,                 0.3963,                0.23778,                0.21284,                0.09132,                 2.4652,                 3.7168,                 2.5063,              0.0001652,              0.0001652,              0.0001652
                     94,                   2.55,                 2.9583,                 2.9483,                 0.3963,                0.23778,                0.21284,                0.09132,                 2.4652,                 3.7168,                 2.5063,              0.0001487,              0.0001487,              0.0001487
                     95,                 2.6134,                 3.3641,                 3.1154,                 0.3511,                0.23778,                0.20595,                0.08999,                 2.4495,                  3.759,                 2.4859,             0.00013219,             0.00013219,             0.00013219
                     96,                 2.6734,                 3.4526,                  3.149,                 0.3511,                0.23778,                0.20595,                0.08999,                 2.4495,                  3.759,                 2.4859,             0.00011569,             0.00011569,             0.00011569
                     97,                 2.7409,                 3.3906,                 3.0581,                0.22735,                   0.21,                0.19911,                0.09161,                 2.4348,                 3.7468,                 2.4713,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 2.6687,                 3.2024,                 3.1366,                0.22735,                   0.21,                0.19911,                0.09161,                 2.4348,                 3.7468,                 2.4713,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 2.8031,                  3.382,                 3.0464,                0.22735,                   0.21,                0.19911,                0.09161,                 2.4348,                 3.7468,                 2.4713,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 2.4696,                 3.3022,                 2.9606,                0.23789,                   0.19,                0.20131,                0.09368,                 2.4089,                  3.755,                 2.4622,             4.9677e-05,             4.9677e-05,             4.9677e-05
