                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8739,                 4.2512,                 4.2893,                0.00078,                0.03778,                0.00203,                0.00024,                 4.8816,                 4.8351,                  4.161,             0.00013336,             0.00013336,             0.00013336
                      2,                 3.6875,                 4.2191,                 4.2542,                0.00075,                0.03778,                0.00064,                 0.0001,                 4.8832,                 4.8472,                 4.1642,             0.00028058,             0.00028058,             0.00028058
                      3,                 3.8272,                 4.2192,                 4.2745,                 0.0007,                0.03778,                0.00066,                 0.0001,                  4.884,                 4.8554,                 4.1662,             0.00042484,             0.00042484,             0.00042484
                      4,                 3.7776,                 4.3351,                 4.2171,                0.00084,                0.06556,                0.00116,                0.00036,                 4.8859,                 4.8788,                 4.1744,             0.00056612,             0.00056612,             0.00056612
                      5,                 3.9167,                 4.1259,                 4.2099,                0.00084,                0.06556,                0.00116,                0.00036,                 4.8859,                 4.8788,                 4.1744,             0.00070443,             0.00070443,             0.00070443
                      6,                 3.6247,                 4.0386,                 4.2327,                0.00102,                0.09333,                0.00183,                0.00054,                 4.8877,                 4.8885,                 4.1819,             0.00083978,             0.00083978,             0.00083978
                      7,                 3.6733,                 3.9724,                 4.2013,                0.00086,                0.06556,                 0.0014,                0.00041,                 4.8885,                  4.895,                 4.1909,             0.00097215,             0.00097215,             0.00097215
                      8,                 3.8129,                 4.0009,                 4.1402,                0.00086,                0.06556,                 0.0014,                0.00041,                 4.8885,                  4.895,                 4.1909,              0.0011015,              0.0011015,              0.0011015
                      9,                 3.8061,                 3.9131,                 4.1245,                0.00019,                   0.01,                0.00197,                0.00061,                 4.8927,                 4.8924,                 4.2027,               0.001228,               0.001228,               0.001228
                     10,                 3.6391,                 3.9865,                 4.1476,                0.00019,                   0.01,                0.00197,                0.00061,                 4.8927,                 4.8924,                 4.2027,              0.0013514,              0.0013514,              0.0013514
                     11,                 3.4958,                  3.947,                 4.1364,                0.00016,                   0.01,                0.00158,                0.00049,                 4.8991,                 4.8696,                 4.2134,              0.0014719,              0.0014719,              0.0014719
                     12,                 3.6162,                 3.9206,                  4.095,                0.00016,                   0.01,                0.00158,                0.00049,                 4.8991,                 4.8696,                 4.2134,              0.0014855,              0.0014855,              0.0014855
                     13,                 3.6974,                 3.8784,                   4.05,                0.00016,                   0.01,                0.00038,                0.00012,                  4.911,                 4.8071,                 4.2138,              0.0014855,              0.0014855,              0.0014855
                     14,                 3.4935,                 3.6019,                 4.0375,                0.00016,                   0.01,                0.00038,                0.00012,                  4.911,                 4.8071,                 4.2138,               0.001469,               0.001469,               0.001469
                     15,                 3.4821,                 3.7367,                 4.0883,                0.00016,                   0.01,                0.00038,                0.00012,                  4.911,                 4.8071,                 4.2138,              0.0014525,              0.0014525,              0.0014525
                     16,                  3.424,                 3.7588,                  4.017,                0.00178,                0.10333,                0.00117,                0.00027,                 4.8853,                 4.5801,                 4.0394,               0.001436,               0.001436,               0.001436
                     17,                  3.464,                 3.7986,                 4.0516,                0.00178,                0.10333,                0.00117,                0.00027,                 4.8853,                 4.5801,                 4.0394,              0.0014195,              0.0014195,              0.0014195
                     18,                 3.4388,                 3.6822,                 3.9941,                0.00287,                0.17889,                0.00215,                0.00083,                 4.5132,                 5.4205,                 3.9073,              0.0014029,              0.0014029,              0.0014029
                     19,                 3.6113,                 3.7159,                 3.9649,                0.00287,                0.17889,                0.00215,                0.00083,                 4.5132,                 5.4205,                 3.9073,              0.0013864,              0.0013864,              0.0013864
                     20,                 3.5694,                 3.7792,                 3.8977,                0.00383,                   0.02,                0.00163,                0.00043,                 4.5715,                 6.5772,                 3.9747,              0.0013699,              0.0013699,              0.0013699
                     21,                 3.6441,                 3.5551,                 3.7943,                0.00383,                   0.02,                0.00163,                0.00043,                 4.5715,                 6.5772,                 3.9747,              0.0013534,              0.0013534,              0.0013534
                     22,                 3.5596,                 3.6709,                 3.8954,                0.00383,                   0.02,                0.00163,                0.00043,                 4.5715,                 6.5772,                 3.9747,              0.0013369,              0.0013369,              0.0013369
                     23,                 3.4524,                 3.6059,                  3.928,                0.00197,                0.11556,                0.00125,                0.00026,                 4.5348,                 18.319,                 4.3723,              0.0013204,              0.0013204,              0.0013204
